user,followers_count,following_count,account_creation_date,date,text,text_length,likes,quotes,retweets,comments,link
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 30, 2024 · 7:32 PM UTC","This Asian American, Native Hawaiian, and Pacific Islander Heritage Month, I wanted to share the story of Ashley Johnson – a leader in our @ObamaFoundation Leaders USA program who is using her talents to create change.  Check out her inspiring story:",250,30511,220,5355,2699,https://twitter.com/BarackObama/status/1796263509874950158#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 28, 2024 · 6:17 PM UTC","When Brian Wallach was diagnosed with ALS, he was given six months to live. @bsw5020 and @sabrevaya’s film, For Love & Life: No Ordinary Campaign, chronicles their incredible journey, and proves that all of us are far more powerful than we know. I hope you’ll watch it on Prime Video and get involved with their work to find a cure for ALS at IAmALS.org.",354,41428,295,7946,2102,https://twitter.com/BarackObama/status/1795519835142541666#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 27, 2024 · 9:04 PM UTC","Bill Walton was one of the greatest basketball players of all time – a champion at every level and the embodiment of unselfish team play. He was also a wonderful spirit full of curiosity, humor and kindness. We are poorer for his passing, and Michelle and I send our deepest condolences to his family.",301,148397,470,14530,2968,https://twitter.com/BarackObama/status/1795199538057072966#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 27, 2024 · 1:45 PM UTC","One of the greatest honors of my life was the privilege of serving as commander-in-chief, and with pride also came sometimes heartbreak and loss. And the sober recognition of the sacrifices that so many Americans and their families have made to preserve our freedom.  On Memorial Day, we honor the brave men and women who made the ultimate sacrifice for our country. We owe them so much, and their memories will never be forgotten.",431,301524,1932,36994,15818,https://twitter.com/BarackObama/status/1795088933556011101#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 22, 2024 · 5:09 PM UTC",".@POTUS just confirmed his 200th judge – not an easy accomplishment with a narrow majority in the Senate. And more than half are women and people of color.   Judges have the power to roll back progress or keep us moving forward; to protect our basic liberties or take them away. It’s another reminder of what’s at stake in this election, and why it’s so important to vote.",372,94604,1707,18929,18535,https://twitter.com/BarackObama/status/1793328292260352018#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 17, 2024 · 6:45 PM UTC","Today marks 70 years since the Supreme Court handed down its landmark decision in Brown v. Board of Education, outlawing racial segregation in America’s schools.   Let’s honor the memory of the civil rights leaders, families, and children who took extraordinary risks in order to make our schools – and ultimately our country – more fair and more free. And at a time when our public schools are growing more segregated, let’s remember that our work isn’t done until every child can get an education worthy of their promise.",523,102368,989,17569,8599,https://twitter.com/BarackObama/status/1791540592238874953#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 12, 2024 · 2:00 PM UTC","Happy Mother’s Day to @MichelleObama and all the moms out there!  Michelle, thank you for all that you do for our girls. Today and every day, we celebrate you.  And a big thank you to all the mothers and mother figures out there who provide us love, inspiration and support, often in the face of remarkable odds.",312,349200,1080,25350,10987,https://twitter.com/BarackObama/status/1789656939871211869#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"May 3, 2024 · 7:29 PM UTC",Great news today: The Biden Administration announced that DACA recipients will now be able to get health care coverage through the Affordable Care Act. https://www.nytimes.com/2024/05/03/us/politics/immigrants-daca-health-care.html,231,6447,91,1314,1692,https://twitter.com/BarackObama/status/1786478084054458801#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"Apr 29, 2024 · 9:11 PM UTC","Back in March, @JoeBiden, @BillClinton and I sat down with three real icons – the hosts of @SmartLess – to talk about everything from the economy and gun violence, to what we miss about being in office and the importance of sending Joe and Kamala back to the White House. We laughed a little bit, too. Check it out: audible.com/pd/B0D2XKFGW4",341,111543,1222,14297,17187,https://twitter.com/BarackObama/status/1785054398730641823#m
Barack Obama,131766721,542204,10:08 PM - 5 Mar 2007,"Apr 22, 2024 · 9:01 PM UTC","Tonight, Jewish families around the world will begin the celebration of Passover with the traditional seder meal. Michelle and I loved the seders we held in the White House, and the story of Passover – with its focus on resilience, redemption, and renewal in the face of persecution and uncertainty. Today it rings even more true.  This Passover, let’s remember everyone who is unable to celebrate the holiday with their loved ones. And in a time when there’s been so much suffering and loss in Israel and Gaza, let’s reaffirm our commitment to the Jewish people, and people of all religions, who deserve to feel safe and secure wherever they live and practice their faith. Chag Sameach.",687,138811,1166,15750,10962,https://twitter.com/BarackObama/status/1782515071614107995#m
